lang;descr;label;size;run_id;time
C++;default, gcc;C++ (default, gcc);S;1;0.03556214
C++;default, gcc;C++ (default, gcc);S;2;0.034589662
C++;default, gcc;C++ (default, gcc);S;3;0.038276682
C++;default, gcc;C++ (default, gcc);S;4;0.038623074
C++;default, gcc;C++ (default, gcc);S;5;0.04087375
C++;default, gcc;C++ (default, gcc);M;1;0.34299316
C++;default, gcc;C++ (default, gcc);M;2;0.3418353
C++;default, gcc;C++ (default, gcc);M;3;0.3752258
C++;default, gcc;C++ (default, gcc);M;4;0.3516455
C++;default, gcc;C++ (default, gcc);M;5;0.33748505
C++;default, gcc;C++ (default, gcc);L;1;3.3599892
C++;default, gcc;C++ (default, gcc);L;2;3.339673
C++;default, gcc;C++ (default, gcc);L;3;3.3764252
C++;default, gcc;C++ (default, gcc);L;4;3.3591492
C++;default, gcc;C++ (default, gcc);L;5;3.3184556
C++;default, clang;C++ (default, clang);S;1;0.035615407
C++;default, clang;C++ (default, clang);S;2;0.035602562
C++;default, clang;C++ (default, clang);S;3;0.035444502
C++;default, clang;C++ (default, clang);S;4;0.040878131
C++;default, clang;C++ (default, clang);S;5;0.036457897
C++;default, clang;C++ (default, clang);M;1;0.3474041
C++;default, clang;C++ (default, clang);M;2;0.33810595
C++;default, clang;C++ (default, clang);M;3;0.34679612
C++;default, clang;C++ (default, clang);M;4;0.3636288
C++;default, clang;C++ (default, clang);M;5;0.35566631
C++;default, clang;C++ (default, clang);L;1;3.5506572
C++;default, clang;C++ (default, clang);L;2;3.4640287
C++;default, clang;C++ (default, clang);L;3;3.4314168
C++;default, clang;C++ (default, clang);L;4;3.5251797
C++;default, clang;C++ (default, clang);L;5;3.4023525
Nim;default, gcc;Nim (default, gcc);S;1;0.0323038101196
Nim;default, gcc;Nim (default, gcc);S;2;0.0292918682098
Nim;default, gcc;Nim (default, gcc);S;3;0.0296289920807
Nim;default, gcc;Nim (default, gcc);S;4;0.0325441360474
Nim;default, gcc;Nim (default, gcc);S;5;0.0380079746246
Nim;default, gcc;Nim (default, gcc);M;1;0.230692863464
Nim;default, gcc;Nim (default, gcc);M;2;0.251954078674
Nim;default, gcc;Nim (default, gcc);M;3;0.238850831985
Nim;default, gcc;Nim (default, gcc);M;4;0.225949764252
Nim;default, gcc;Nim (default, gcc);M;5;0.230092287064
Nim;default, gcc;Nim (default, gcc);L;1;2.11917304993
Nim;default, gcc;Nim (default, gcc);L;2;2.33936190605
Nim;default, gcc;Nim (default, gcc);L;3;2.14232087135
Nim;default, gcc;Nim (default, gcc);L;4;2.1126499176
Nim;default, gcc;Nim (default, gcc);L;5;2.10641789436
Nim;default, clang;Nim (default, clang);S;1;0.0296633243561
Nim;default, clang;Nim (default, clang);S;2;0.0321118831635
Nim;default, clang;Nim (default, clang);S;3;0.036698102951
Nim;default, clang;Nim (default, clang);S;4;0.0291821956635
Nim;default, clang;Nim (default, clang);S;5;0.0336346626282
Nim;default, clang;Nim (default, clang);M;1;0.231908082962
Nim;default, clang;Nim (default, clang);M;2;0.238567829132
Nim;default, clang;Nim (default, clang);M;3;0.226646900177
Nim;default, clang;Nim (default, clang);M;4;0.228060007095
Nim;default, clang;Nim (default, clang);M;5;0.22819519043
Nim;default, clang;Nim (default, clang);L;1;2.10553193092
Nim;default, clang;Nim (default, clang);L;2;2.10645294189
Nim;default, clang;Nim (default, clang);L;3;2.09680700302
Nim;default, clang;Nim (default, clang);L;4;2.08373308182
Nim;default, clang;Nim (default, clang);L;5;2.09255409241
Python;default;Python (default);S;1;0.0414350032807
Python;default;Python (default);S;2;0.0319938659668
Python;default;Python (default);S;3;0.0337748527526
Python;default;Python (default);S;4;0.04061627388
Python;default;Python (default);S;5;0.0319719314575
Python;default;Python (default);M;1;0.36018204689
Python;default;Python (default);M;2;0.36218881607
Python;default;Python (default);M;3;0.363864183426
Python;default;Python (default);M;4;0.370353221894
Python;default;Python (default);M;5;0.36544585228
Python;default;Python (default);L;1;3.76984000206
Python;default;Python (default);L;2;3.74268198013
Python;default;Python (default);L;3;3.72385215759
Python;default;Python (default);L;4;3.67869997025
Python;default;Python (default);L;5;3.72093081475
Scala;default;Scala (default);S;1;0.161700001
Scala;default;Scala (default);S;2;0.159185105
Scala;default;Scala (default);S;3;0.159422635
Scala;default;Scala (default);S;4;0.158272737
Scala;default;Scala (default);S;5;0.163408327
Scala;default;Scala (default);M;1;0.592468059
Scala;default;Scala (default);M;2;0.651894996
Scala;default;Scala (default);M;3;0.638276093
Scala;default;Scala (default);M;4;0.647830447
Scala;default;Scala (default);M;5;0.613872027
Scala;default;Scala (default);L;1;6.021232319
Scala;default;Scala (default);L;2;6.038035257
Scala;default;Scala (default);L;3;6.160387213
Scala;default;Scala (default);L;4;6.170645084
Scala;default;Scala (default);L;5;7.74801082
