lang;descr;label;size;run_id;time
C++;default, gcc;C++ (default, gcc);S;1;0.0126408
C++;default, gcc;C++ (default, gcc);S;2;0.0119477
C++;default, gcc;C++ (default, gcc);S;3;0.0119211
C++;default, gcc;C++ (default, gcc);S;4;0.0155854
C++;default, gcc;C++ (default, gcc);S;5;0.0119185
C++;default, gcc;C++ (default, gcc);M;1;0.117799
C++;default, gcc;C++ (default, gcc);M;2;0.114988
C++;default, gcc;C++ (default, gcc);M;3;0.148083
C++;default, gcc;C++ (default, gcc);M;4;0.121649
C++;default, gcc;C++ (default, gcc);M;5;0.112585
C++;default, gcc;C++ (default, gcc);L;1;1.10894
C++;default, gcc;C++ (default, gcc);L;2;1.10044
C++;default, gcc;C++ (default, gcc);L;3;1.12763
C++;default, gcc;C++ (default, gcc);L;4;1.12433
C++;default, gcc;C++ (default, gcc);L;5;1.08274
C++;default, clang;C++ (default, clang);S;1;0.0130428
C++;default, clang;C++ (default, clang);S;2;0.0131747
C++;default, clang;C++ (default, clang);S;3;0.012928
C++;default, clang;C++ (default, clang);S;4;0.0158102
C++;default, clang;C++ (default, clang);S;5;0.0138754
C++;default, clang;C++ (default, clang);M;1;0.124333
C++;default, clang;C++ (default, clang);M;2;0.115624
C++;default, clang;C++ (default, clang);M;3;0.122865
C++;default, clang;C++ (default, clang);M;4;0.137576
C++;default, clang;C++ (default, clang);M;5;0.133253
C++;default, clang;C++ (default, clang);L;1;1.35304
C++;default, clang;C++ (default, clang);L;2;1.25442
C++;default, clang;C++ (default, clang);L;3;1.22911
C++;default, clang;C++ (default, clang);L;4;1.31818
C++;default, clang;C++ (default, clang);L;5;1.19581
Nim;default, gcc;Nim (default, gcc);S;1;0.024050951004
Nim;default, gcc;Nim (default, gcc);S;2;0.0216889381409
Nim;default, gcc;Nim (default, gcc);S;3;0.022027015686
Nim;default, gcc;Nim (default, gcc);S;4;0.0234711170197
Nim;default, gcc;Nim (default, gcc);S;5;0.0258550643921
Nim;default, gcc;Nim (default, gcc);M;1;0.137708902359
Nim;default, gcc;Nim (default, gcc);M;2;0.135691165924
Nim;default, gcc;Nim (default, gcc);M;3;0.143553972244
Nim;default, gcc;Nim (default, gcc);M;4;0.134629964828
Nim;default, gcc;Nim (default, gcc);M;5;0.138915061951
Nim;default, gcc;Nim (default, gcc);L;1;1.23766207695
Nim;default, gcc;Nim (default, gcc);L;2;1.23698496819
Nim;default, gcc;Nim (default, gcc);L;3;1.2685649395
Nim;default, gcc;Nim (default, gcc);L;4;1.23647713661
Nim;default, gcc;Nim (default, gcc);L;5;1.22902989388
Nim;default, clang;Nim (default, clang);S;1;0.0219731330872
Nim;default, clang;Nim (default, clang);S;2;0.0218360424042
Nim;default, clang;Nim (default, clang);S;3;0.0215480327606
Nim;default, clang;Nim (default, clang);S;4;0.021409034729
Nim;default, clang;Nim (default, clang);S;5;0.0227999687195
Nim;default, clang;Nim (default, clang);M;1;0.141607046127
Nim;default, clang;Nim (default, clang);M;2;0.14879989624
Nim;default, clang;Nim (default, clang);M;3;0.138221979141
Nim;default, clang;Nim (default, clang);M;4;0.138910055161
Nim;default, clang;Nim (default, clang);M;5;0.135626077652
Nim;default, clang;Nim (default, clang);L;1;1.26351809502
Nim;default, clang;Nim (default, clang);L;2;1.26285505295
Nim;default, clang;Nim (default, clang);L;3;1.25676608086
Nim;default, clang;Nim (default, clang);L;4;1.25220394135
Nim;default, clang;Nim (default, clang);L;5;1.25624608994
Python;default;Python (default);S;1;0.0229392051697
Python;default;Python (default);S;2;0.020162820816
Python;default;Python (default);S;3;0.0201389789581
Python;default;Python (default);S;4;0.0254662036896
Python;default;Python (default);S;5;0.0194079875946
Python;default;Python (default);M;1;0.241861820221
Python;default;Python (default);M;2;0.241549968719
Python;default;Python (default);M;3;0.242475986481
Python;default;Python (default);M;4;0.251456022263
Python;default;Python (default);M;5;0.246402025223
Python;default;Python (default);L;1;2.59669399261
Python;default;Python (default);L;2;2.5697851181
Python;default;Python (default);L;3;2.54816508293
Python;default;Python (default);L;4;2.50619006157
Python;default;Python (default);L;5;2.54558205605
Scala;default;Scala (default);S;1;0.0470916
Scala;default;Scala (default);S;2;0.044518904
Scala;default;Scala (default);S;3;0.045048783
Scala;default;Scala (default);S;4;0.044969673
Scala;default;Scala (default);S;5;0.04864222
Scala;default;Scala (default);M;1;0.229230934
Scala;default;Scala (default);M;2;0.277131624
Scala;default;Scala (default);M;3;0.277513025
Scala;default;Scala (default);M;4;0.274174439
Scala;default;Scala (default);M;5;0.245240984
Scala;default;Scala (default);L;1;2.190463688
Scala;default;Scala (default);L;2;2.162033582
Scala;default;Scala (default);L;3;2.349918796
Scala;default;Scala (default);L;4;2.351571651
Scala;default;Scala (default);L;5;3.307446475
