lang;descr;label;size;run_id;time
Python;default;Python (default);S;1;0.137367963791
Python;default;Python (default);S;2;0.139677047729
Python;default;Python (default);S;3;0.135141134262
Python;default;Python (default);S;4;0.135001897812
Python;default;Python (default);S;5;0.140723228454
Python;default;Python (default);M;1;3.56833982468
Python;default;Python (default);M;2;3.58266687393
Python;default;Python (default);M;3;3.53324007988
Python;default;Python (default);M;4;3.64622473717
Python;default;Python (default);M;5;3.63105201722
Python;default;Python (default);L;1;21.1435570717
Python;default;Python (default);L;2;20.0492734909
Python;default;Python (default);L;3;20.1958532333
Python;default;Python (default);L;4;20.0357749462
Python;default;Python (default);L;5;20.8760471344
Python;numpy;Python (numpy);S;1;0.0137860774994
Python;numpy;Python (numpy);S;2;0.013689994812
Python;numpy;Python (numpy);S;3;0.013514995575
Python;numpy;Python (numpy);S;4;0.0152893066407
Python;numpy;Python (numpy);S;5;0.0137522220612
Python;numpy;Python (numpy);M;1;0.114854097367
Python;numpy;Python (numpy);M;2;0.116078853608
Python;numpy;Python (numpy);M;3;0.114850997925
Python;numpy;Python (numpy);M;4;0.114997148513
Python;numpy;Python (numpy);M;5;0.116681098938
Python;numpy;Python (numpy);L;1;0.319628715515
Python;numpy;Python (numpy);L;2;0.319202661515
Python;numpy;Python (numpy);L;3;0.321532964707
Python;numpy;Python (numpy);L;4;0.319125652314
Python;numpy;Python (numpy);L;5;0.319977045059
Scala;default;Scala (default);S;1;0.095916787
Scala;default;Scala (default);S;2;0.08955671
Scala;default;Scala (default);S;3;0.088604998
Scala;default;Scala (default);S;4;0.087197256
Scala;default;Scala (default);S;5;0.088868272
Scala;default;Scala (default);M;1;0.251480972
Scala;default;Scala (default);M;2;0.237273669
Scala;default;Scala (default);M;3;0.238170959
Scala;default;Scala (default);M;4;0.240710778
Scala;default;Scala (default);M;5;0.245398229
Scala;default;Scala (default);L;1;0.481719222
Scala;default;Scala (default);L;2;0.488685576
Scala;default;Scala (default);L;3;0.485479148
Scala;default;Scala (default);L;4;0.481764335
Scala;default;Scala (default);L;5;0.48310905
