lang;descr;label;stage;time
C++;default, gcc;C++ (default, gcc);IO;0.0958961
C++;default, gcc;C++ (default, gcc);Add;0.000417783
C++;default, gcc;C++ (default, gcc);Mul;0.104085
C++;default, clang;C++ (default, clang);IO;0.0968687
C++;default, clang;C++ (default, clang);Add;0.000390033
C++;default, clang;C++ (default, clang);Mul;0.10447
Python;default;Python (default);IO;0.226339101791
Python;default;Python (default);Add;0.0262570381165
Python;default;Python (default);Mul;19.7973709106
Python;numpy;Python (numpy);IO;0.316366910934
Python;numpy;Python (numpy);Add;0.000747919082642
Python;numpy;Python (numpy);Mul;0.00340700149536
Scala;default;Scala (default);IO;0.327331263
Scala;default;Scala (default);Add;0.007893948
Scala;default;Scala (default);Mul;0.151796598
