lang;descr;label;size;run_id;time
C++;default, gcc;C++ (default, gcc);S;0;0.035517891
C++;default, gcc;C++ (default, gcc);S;1;0.035974968
C++;default, gcc;C++ (default, gcc);S;2;0.03806498
C++;default, gcc;C++ (default, gcc);M;0;0.35267842
C++;default, gcc;C++ (default, gcc);M;1;0.34983016
C++;default, gcc;C++ (default, gcc);M;2;0.36139626
C++;default, gcc;C++ (default, gcc);L;0;3.5130733
C++;default, gcc;C++ (default, gcc);L;1;3.3522325
C++;default, gcc;C++ (default, gcc);L;2;3.4163539
C++;default, clang;C++ (default, clang);S;0;0.03658118
C++;default, clang;C++ (default, clang);S;1;0.03767783
C++;default, clang;C++ (default, clang);S;2;0.036064111
C++;default, clang;C++ (default, clang);M;0;0.346588
C++;default, clang;C++ (default, clang);M;1;0.35715089
C++;default, clang;C++ (default, clang);M;2;0.3434731
C++;default, clang;C++ (default, clang);L;0;3.512542
C++;default, clang;C++ (default, clang);L;1;3.6649999
C++;default, clang;C++ (default, clang);L;2;3.6283094
Python;default;Python (default);S;0;0.0366368293762
Python;default;Python (default);S;1;0.0323138236999
Python;default;Python (default);S;2;0.0359439849853
Python;default;Python (default);M;0;0.382900953292
Python;default;Python (default);M;1;0.400751113891
Python;default;Python (default);M;2;0.416803836822
Python;default;Python (default);L;0;3.69717097283
Python;default;Python (default);L;1;3.99447655678
Python;default;Python (default);L;2;3.68074512482
Scala;default;Scala (default);S;0;0.159391282
Scala;default;Scala (default);S;1;0.161346308
Scala;default;Scala (default);S;2;0.158717743
Scala;default;Scala (default);M;0;0.630231969
Scala;default;Scala (default);M;1;0.615073158
Scala;default;Scala (default);M;2;0.582991797
Scala;default;Scala (default);L;0;5.95311593
Scala;default;Scala (default);L;1;6.011587623
Scala;default;Scala (default);L;2;6.859575334
