lang;descr;label;size;run_id;time
C++;default, gcc;C++ (default, gcc);S;0;0.000904091
C++;default, gcc;C++ (default, gcc);S;1;0.000865868
C++;default, gcc;C++ (default, gcc);S;2;0.00111198
C++;default, gcc;C++ (default, gcc);M;0;0.00875842
C++;default, gcc;C++ (default, gcc);M;1;0.00921816
C++;default, gcc;C++ (default, gcc);M;2;0.00850326
C++;default, gcc;C++ (default, gcc);L;0;0.0645133
C++;default, gcc;C++ (default, gcc);L;1;0.0654325
C++;default, gcc;C++ (default, gcc);L;2;0.0660639
C++;default, clang;C++ (default, clang);S;0;0.00097588
C++;default, clang;C++ (default, clang);S;1;0.00339773
C++;default, clang;C++ (default, clang);S;2;0.000973011
C++;default, clang;C++ (default, clang);M;0;0.010839
C++;default, clang;C++ (default, clang);M;1;0.00967989
C++;default, clang;C++ (default, clang);M;2;0.0106901
C++;default, clang;C++ (default, clang);L;0;0.065712
C++;default, clang;C++ (default, clang);L;1;0.0648899
C++;default, clang;C++ (default, clang);L;2;0.0618894
Python;default;Python (default);S;0;0.000592947006226
Python;default;Python (default);S;1;0.000419855117798
Python;default;Python (default);S;2;0.000334024429321
Python;default;Python (default);M;0;0.0269119739532
Python;default;Python (default);M;1;0.00419998168945
Python;default;Python (default);M;2;0.00292205810547
Python;default;Python (default);L;0;0.0177450180054
Python;default;Python (default);L;1;0.260619878769
Python;default;Python (default);L;2;0.017462015152
Scala;default;Scala (default);S;0;0.047630875
Scala;default;Scala (default);S;1;0.04890925
Scala;default;Scala (default);S;2;0.047530614
Scala;default;Scala (default);M;0;0.076821014
Scala;default;Scala (default);M;1;0.078095833
Scala;default;Scala (default);M;2;0.076927774
Scala;default;Scala (default);L;0;0.254260527
Scala;default;Scala (default);L;1;0.253154004
Scala;default;Scala (default);L;2;0.404881918
