lang;descr;label;size;run_id;time
Python;default;Python (default);S;1;0.143697977066
Python;default;Python (default);S;2;0.137023925781
Python;default;Python (default);S;3;0.137892723083
Python;default;Python (default);M;1;1.03831601143
Python;default;Python (default);M;2;1.05409693718
Python;default;Python (default);M;3;1.04721832276
Python;default;Python (default);L;1;3.57342600823
Python;default;Python (default);L;2;3.52798724174
Python;default;Python (default);L;3;3.51517486572
Scala;default;Scala (default);S;1;0.088270239
Scala;default;Scala (default);S;2;0.087947944
Scala;default;Scala (default);S;3;0.089906983
Scala;default;Scala (default);M;1;0.147071846
Scala;default;Scala (default);M;2;0.145874547
Scala;default;Scala (default);M;3;0.147387875
Scala;default;Scala (default);L;1;0.247579149
Scala;default;Scala (default);L;2;0.233337783
Scala;default;Scala (default);L;3;0.252491954
